ITEM,DESCRIPTION,QUANTITY,UNIT PRICE,COST,STATUS,LINK,SIZE / 3D MODEL
JSUMO 3S 11.1V 850mAh Lipo 25C,Battery,1,$24.92,$24.92,Hasn't been purchased,https://www.robotistan.com/jsumo-3s-111v-lipo-batarya-850mah-25c,
HOBBY WING 30A,ESC,1,$15.04,$15.04,Hasn't been purchased,https://www.robotistan.com/30a-esc-fircasiz-motor-surucu-modulu,custom
XXD MT2204 2300KV CW,Motor,1,$7.58,$7.58,Already Owned,https://www.robotistan.com/mt-2204-2300kv-cw-banana-plug,https://grabcad.com/library/emax-mt2204-2300kv-dc-motor-brushless-for-fpv-quadcopter-1
Flysky FS-CT6B 2.4Ghz 6 Channel RC Receiver,Receiver,1,$0.00,$0.00,Included in bundle w/ transmitter,https://www.robotzade.com/urun/flysky-fs-ct6b-2-4ghz-6-kanal-rc-alici-verici-kumanda-seti?v=1.52.3,custom
Flysky FS-CT6B 2.4Ghz 6 Channel RC Bundle,Transmitter,1,$56.93,$56.93,Hasn't been purchased,https://www.robotzade.com/urun/flysky-fs-ct6b-2-4ghz-6-kanal-rc-alici-verici-kumanda-seti?v=1.52.3,no model needed
TOWERPRO MG90S Servo Motor Metal-Gear 180,Servo Motor,3,$2.05,$6.15,Hasn't been purchased,https://www.robotzade.com/urun/mg90-servo-motor-metal-disli-180-derece,https://grabcad.com/library/mg90s-micro-servo-2
Haoye 6.3x3.15 EP Propeller 2mm/5mm,Propeller,3,$0.75,$2.25,Already Owned,https://www.promodelhobby.com/urun/haoye-6x3-ep-pervane-hex-gobek-2mm-160x80mm-6030,custom
6mm Carbon Spar,Wing spar for support,1,$5.82,$5.82,Hasn't been purchased,https://www.thkmodelucak.com/urun/6mm-karbon-cubuk,6 x 100 cm rod
Estimated Total Cost,,,,$135.49,,,
Funds Needed,,,,$121.16,,,
